查拳,拳法,与潭腿、花拳、洪拳，并称北拳四大家的拳法，在北方流传甚广，练武者都略知一二。,,,飞狐外传
燕青拳,拳法,梁山泊上好汉燕青传下的拳法，讲究纵跃起伏、盘拗挑打，马行空曾用来与阎基交手。,马行空,,飞狐外传
四门刀法,刀法,阎基和商老太交手时用的刀法。,阎基,,飞狐外传
毒砂掌,掌法,药王庄门下人人皆会。出现于《飞狐外传》中。中此掌者伤处隐隐似有一层黑气。需放血并于伤口擦上黄色解药方能解其毒。,,药王庄,飞狐外传
四象步,轻功,胡斐家传武艺之一，但仅是习练拳脚器械的入门基础。,胡斐,,飞狐外传
鹰爪功,爪法,鹰爪雁行门两大绝技之一。,,鹰爪雁行门,飞狐外传
雁行轻功,轻功,鹰爪雁行门绝技之一。,,鹰爪雁行门,飞狐外传
雁行刀,刀法,鹰爪雁行门两大绝技之一。,,鹰爪雁行门,飞狐外传
八极拳,拳法,清雍乾年间，武林中名头甚响的拳术，声势仅稍逊太极、八卦诸门，秦耐之曾和胡斐交流商研，拳法有翻手、揉腕、寸恳、抖展八极，搂、打、腾、封、踢、蹬、扫、卦八式，变化为‘闪、长、跃、躲、拗、切、闭、拨’八法，四十九路八极拳，讲究的是小巧腾挪之道。,秦耐之,,飞狐外传
六十四路轰天雷震挡法,奇门,雷电门的绝招，若与闪电椎的功夫双手齐使，合称雷电交作，威力甚大。,,雷电门,飞狐外传
八卦游身刀法,刀法,八卦门刀法，施展时满室游走，刀中夹掌，掌中夹刀，越打越快。,,八卦门,飞狐外传
游身八卦掌,掌法,八卦门掌法，一施出时再不停留，脚下每一步都按著先天八卦的图式，转折如意，四梢归一，绕着对方身子急速奔跑，一掌一掌越打越快。商宝震曾用来跟王剑杰过招。,商宝震,八卦门,飞狐外传
内八卦掌法,掌法,八卦门最精深的掌法，非将外八卦练至登峰造极，决不能动，但只要一练成，出招虽然极短，但以静制动，威力甚强。招式施展时脚下也按著先天八卦的图式，但双掌或挥或按，便如是独自练拳一般。,,八卦门,飞狐外传
八阵八卦掌法,掌法,威震河朔王维扬的最强家传绝技，仅传给王剑英跟王剑杰两个儿子，掌法施展时脚步错乱，手掌歪斜，在平地上施展威力最强，外姓的弟子如商剑鸣等也均不传。是在八卦掌中夹了八阵图之法：天阵居乾为天门，地阵居坤为地门，风阵居巽为风门，云阵居震为云门，飞龙居坎为飞龙门，武翼居兑为武翼门，鸟翔居离为鸟翔门，蜿盘居艮为蜿盘门；天地风云为四正门，龙虎鸟蜿为四奇门；乾坤艮巽为阖门，坎离震兑为开门。这四正四奇，四开四阖，用到武学之上变化奇幻，隐有布阵而战之意。,王维扬、王剑英、王剑杰,,飞狐外传
天龙剑法,剑法,天龙门的剑法，田归农曾在掌门人大会施展力斗其他武师。,田归农,天龙门,飞狐外传
六合拳,拳法,韦陀门开山祖师无相大师所精研的武功。,,韦陀门,飞狐外传
韦陀杵,仗法,韦陀门开山祖师无相大师所精研的武功。,,韦陀门,飞狐外传
六和刀法,刀法,少林旁支韦陀门的武功，全守六合之法。所谓六合，“精气神”为内三合，“手眼身”为外三合，其用为“眼与心合，心与气合，气与身合，身与手合，手与脚合，脚与胯合。”全身内外，浑然一体。,,韦陀门,飞狐外传
六和枪法,枪法,少林旁支韦陀门的武功，共有二十四式，最精妙的一招乃是“四夷宾服”。称为二十四式之首，其中妙变无穷，乃是中平枪法，很厉害的。,,韦陀门,飞狐外传
赤尻连拳,拳法,少林旁支韦陀门的武功，以六合拳为根基以猴拳为形，乃是一套近身缠斗的小擒拿手法，每一招不是拿抓勾锁，便是点穴打穴。,,韦陀门,飞狐外传
八仙剑法,剑法,八仙剑一门的镇派绝技。,,八仙剑门,飞狐外传
先天拳,拳法,由唐朝流传至清朝的拳法，但历代拳师传技时各自留招，已经式微许久。,,,飞狐外传
鸭形拳,拳法,鸭形门的拳法，招式姿势虽不中看，但马步低、下盘稳，水面上的功夫特别了得。,,鸭形门,飞狐外传
五郎棍法,棍法,五台派弟子，五郎镖局李廷豹的成名武功。招式圈、点、劈、轧、挑、撞、撒、杀，招熟力猛，使将出来极有威势。,李廷豹,五台派,飞狐外传
二郎担山掌,掌法,二郎拳一派的绝技。,,二郎拳派,飞狐外传
盖马三拳,拳法,二郎拳一派的绝技。,,二郎拳派,飞狐外传
金刚拳,拳法,山西大同府兴隆镖局总镖头周隆的绝技。,周隆,,飞狐外传
胡家快刀,刀法,胡一刀家传的刀法之一。胡家刀法－八方藏刀式、穿手藏刀式、进步连环刀、缠身摘心刀、闭门铁扇刀。,胡一刀,,飞狐外传
